"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R12,R11,R10";"SM0805";3;"1M";;;
2;"C21,C22";"SM0805";2;"100n";;;
3;"P3,P4";"fiducial15";2;"CONN_1";;;
4;"P5";"OSHWLOGO0.3IN";1;"CONN_1";;;
5;"CONN31,CONN41,CONN2,CONN21,CONN4,CONN3";"SIL-14f1d1.5";6;"CONN_14";;;
6;"P2,P1";"1pin_2m5";2;"CONN_1";;;
7;"Q2";"TO92PN";1;"PNP";;;
8;"Q1";"TO92PN";1;"NPN";;;
9;"U6";"SWDIP4";1;"PIC12LF1840";;;
10;"Q3";"SOT23GDS";1;"MOSFET_N";;;
11;"R6";"SM0805";1;"2.2";;;
12;"C13,C16,C14,C15";"SM0805";4;"1.5n";;;
13;"R5";"SM0805";1;"9M";;;
14;"JP3,JP1,JP2,JP4";"PIN_ARRAY_2X1";4;"JUMPER";;;
15;"T1,T2";"k4000001";2;"TRANSFO4";;;
16;"SP2";"BUZ3-5";1;"400PT";;;
17;"SP1";"BUZ3-5";1;"400SR";;;
18;"U1";"MSOP_8";1;"MCP6541";;;
19;"C1,C2";"C1V7";2;"470uF";;;
20;"CONNt1";"SIL-4";1;"CONN_4";;;
21;"RV1";"TO220_VERT";1;"20k";;;
