"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P2,P3";"1pin_2m5";2;"CONN_1";;;
2;"P6,P5";"fiducial15";2;"CONN_1";;;
3;"C1,C3,C2,C10,C4,C7,C11";"SM0805";7;"100n";;;
4;"R9,R1,R2";"SM0805";3;"47K";;;
5;"C5";"SM0805";1;"10u";;;
6;"C6";"SM0805";1;"0,47uF";;;
7;"R7,R8";"SM0805";2;"10K";;;
8;"C8,C9";"SM0805";2;"18p";;;
9;"JP2,JP3";"SM0603";2;"BREAKER";;;
10;"JP1";"PIN_ARRAY_2X1";1;"BREAKER";;;
11;"U3";"TSSOP_14";1;"PCF2123";;;
12;"U1";"TQFP_80big";1;"MSP430F5435A";;;
13;"FB1,FB2";"SM0805";2;"10n";;;
14;"X1";"quarzo_smd_32_768kHz";1;"32.6768kHz";;;
15;"U2";"SOIC8";1;"24AA1025";;;
16;"U4";"SO8E";1;"24AA025E48";;;
17;"P7";"front_vsoh_logo";1;"uC";;;
18;"CONN1,CONN2,CONN3,CONN4";"SIL-14f1d1.5_double";4;"CONN_14";;;
19;"P8";"back_info_262013";1;"uC";;;
