"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P3";"1pinOnlyHole_2m5";1;"CONN_1";;;
2;"U4";"DIPOLO_2_4_V1";1;"DIPOLO_2_4_V1";;;
3;"C1";"SM0805";1;"1U";;;
4;"C2,C11,C4,C141,C151,C161,C271";"SM0805";7;"100n";;;
5;"C12";"SM0805";1;"1u";;;
6;"R1";"SM0805";1;"1M";;;
7;"Q4,Q1,Q2";"SOT23GDS";3;"MOS_N";;;
8;"R9";"SM0805";1;"2K2";;;
9;"R4,R3,R2";"SM0805";3;"200";;;
10;"D3,D2,D1";"SM0805";3;"L-C170GCT";;;
11;"C3";"SM0805";1;"47uF 4V";;;
12;"BH1620FVC1";"BH1620FVC";1;"U4";;;
13;"C121,C131";"SM0805";2;"27P";;;
14;"l1";"SM0805";1;"BLM15HG102SN1D";;;
15;"R231";"SM0805";1;"56K";;;
16;"R261";"SM0805";1;"47K";;;
17;"U1";"cc2520";1;"CC2520";;;
18;"C6";"SM0805";1;"1uF";;;
19;"U2";"MPL115A2";1;"MPL115A2";;;
20;"U3";"quarzo_smd_32MHz";1;"QUARZO";;;
21;"C7,C8";"SM0805";2;"1.5p";;;
22;"P6,P5";"fiducial15";2;"CONN_1";;;
23;"P2";"1pin_2m5";1;"CONN_1";;;
24;"CONN1,CONN2,CONN4";"SIL-14f1d1.5_double";3;"CONN_14";;;
25;"P7";"front_vsoh_logo";1;"RS";;;
26;"P8";"back_info_262013";1;"RS";;;
