"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P2,P3,P2,P3,P2,P3,P2,P3";"1pin_2m5";8;"CONN_1";;;
2;"P6,P5,P6,P5,P6,P5,P6,P5";"fiducial15";8;"CONN_1";;;
3;"C1,C16,C17,C23,C1,C16,C17,C23,C1,C16,C17,C23,C1,C16,C17,C23";"VS_SM0805";16;"4u7";;;
4;"C2,C13,C25,C32,C2,C13,C25,C32,C2,C13,C25,C32,C2,C13,C25,C32";"VS_SM0603";16;"1u";;;
5;"C3,C9,C14,C15,C18,C19,C22,C24,C26,C30,C31,C33,C34,C35,C36,C3,C9,C14,C15,C18,C19,C22,C24,C26,C30,C31,C33,C34,C35,C36,C3,C9,C14,C15,C18,C19,C22,C24,C26,C30,C31,C33,C34,C35,C36,C3,C9,C14,C15,C18,C19,C22,C24,C26,C30,C31,C33,C34,C35,C36";"VS_SM0603";60;"100n";;;
6;"C4,C5,C4,C5,C4,C5,C4,C5";"VS_SM0603";8;"470n";;;
7;"C6,C8,R25,C6,C8,R25,C6,C8,R25,C6,C8,R25";"VS_SM0603";12;"NO";;;
8;"C7,C11,C12,C20,C21,C29,C7,C11,C12,C20,C21,C29,C7,C11,C12,C20,C21,C29,C7,C11,C12,C20,C21,C29";"VS_SM0805";24;"10u";;;
9;"C10,C27,C28,C10,C27,C28,C10,C27,C28,C10,C27,C28";"VS_SM0603";12;"33p";;;
10;"C37,C37,C37,C37";"VS_SM0603";4;"10n";;;
11;"D1,D1,D1,D1";"VS_SM0603";4;"LED";;;
12;"L1,L2,L1,L2,L1,L2,L1,L2";"VS_SM0805";8;"BLM21AG151SN1D";;;
13;"L3,L3,L3,L3";"VS_SM0805";4;"BLM18AG601SN1D";;;
14;"P1,P1,P1,P1";"VS_1PIN";4;"1V8CC";;;
15;"P4,P4,P4,P4";"VS_1PIN";4;"1V3CC";;;
16;"P10,P10,P10,P10";"VS_1PIN";4;"DSP-SDA";;;
17;"P11,P11,P11,P11";"VS_1PIN";4;"DSP-SCL";;;
18;"Q1,Q1,Q1,Q1";"SOT23GDS";4;"MOS_N";;;
19;"R1,R1,R1,R1";"VS_SM0603";4;"2K2";;;
20;"R2,R2,R2,R2";"VS_SM0603";4;"1K";;;
21;"R3,R13,R3,R13,R3,R13,R3,R13";"VS_SM0603";8;"4K7";;;
22;"R4,R4,R4,R4";"VS_SM0603";4;"250K";;;
23;"R5,R5,R5,R5";"VS_SM0603";4;"14K";;;
24;"R6,R6,R6,R6";"VS_SM0603";4;"30K";;;
25;"R7,R12,R29,R30,R35,R7,R12,R29,R30,R35,R7,R12,R29,R30,R35,R7,R12,R29,R30,R35";"VS_SM0603";20;"0";;;
26;"R8,R11,R8,R11,R8,R11,R8,R11";"VS_SM0603";8;"0-NO";;;
27;"R9,R9,R9,R9";"VS_SM0603";4;"10K7";;;
28;"R10,R10,R10,R10";"VS_SM0603";4;"110K";;;
29;"R14,R15,R14,R15,R14,R15,R14,R15";"VS_SM0603";8;"300";;;
30;"R16,R16,R16,R16";"VS_SM0603";4;"220";;;
31;"R17,R19,R21,R22,R23,R24,R26,R27,R28,R31,R32,R33,R34,R17,R19,R21,R22,R23,R24,R26,R27,R28,R31,R32,R33,R34,R17,R19,R21,R22,R23,R24,R26,R27,R28,R31,R32,R33,R34,R17,R19,R21,R22,R23,R24,R26,R27,R28,R31,R32,R33,R34";"VS_SM0603";52;"10K";;;
32;"R18,R20,R18,R20,R18,R20,R18,R20";"VS_SM0603";8;"100K";;;
33;"U1,U1,U1,U1";"VS_SO8E";4;"TPS77801";;;
34;"U2,U2,U2,U2";"RHB_S-PVQFN-N32";4;"TLV320AIC3204";;;
35;"U4,U4,U4,U4";"QRZ_DSX321G_12MHZ";4;"DSX321G_12MHZ";;;
36;"U6,U6,U6,U6";"MCH_FCI-10067847-001";4;"SD";;;
37;"U7,U7,U7,U7";"MICRO_SD";4;"MICRO_SD";;;
38;"X1,X1,X1,X1";"quarzo_smd_32_768kHz";4;"32.768KHz";;;
39;"P7,P7,P7,P7";"front_vsoh_logo";4;"DSP";;;
40;"U5,U5,U5,U5";"S-PBGA-N144";4;"C5535";;;
41;"U3,U3,U3,U3";"DCQ_R-PDSO-G6";4;"TPS79501DCQ";;;
42;"CONN2,CONN4,CONN2,CONN4,CONN2,CONN4,CONN2,CONN4";"SIL-14f1d1.5_double";8;"CONN_14";;;
43;"M1,M1,M1,M1";"MIC_AOM-4540P-R_EDGE";4;"MIC";;;
