"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P5,P6";"fiducial15";2;"CONN_1";;;
2;"CONN11,CONN31,CONN3,CONN1";"SIL-14f1d1.5";4;"CONN_14";;;
3;"P3";"1pin_2m5";1;"CONN_1";;;
4;"U1";"MICRO_SD";1;"MICRO_SD";;;
5;"P2";"1pinOnlyHole_2m5";1;"CONN_1";;;
6;"U2";"QFN32-5x5";1;"TRF7970A";;;
7;"C1";"SM0805";1;"180pF";;;
8;"C9";"SM0805";1;"10pF";;;
9;"C6";"SM0805";1;"220pF";;;
10;"C7";"SM0805";1;"680pF";;;
11;"C5";"SM0805";1;"100pF";;;
12;"C4,C25,C22";"SM0805";3;"27pF";;;
13;"R1,R8,R9";"SM0805";3;"0";;;
14;"C3";"SM0805";1;"280pF";;;
15;"C2";"SM0805";1;"35pF";;;
16;"C13,C12";"SM0805";2;"1.2nF";;;
17;"L1";"SM0805";1;"560nH";;;
18;"R6,R2,R3,R4,R5";"SM0805";5;"50K";;;
19;"C23,C18,C14,C8,C11";"SM0805";5;"10nF";;;
20;"C24,C15,C19,C10";"SM0805";4;"2.2uF";;;
21;"R7";"SM0805";1;"100";;;
22;"C20,C21";"SM0805";2;"27uF";;;
23;"C17,C16";"SM0805";2;"1.5nF";;;
24;"L3";"SM0805";1;"150nH";;;
25;"L2";"SM0805";1;"330nH";;;
26;"CONN5";"SIL-7";1;"CONN_7";;;
27;"BLTH1";"SIL-5f1d1.5";1;"CONN_5";;;
28;"X1";"HC-49V";1;"13.56MHz";;;
29;"U5";"W7001";1;"W7001";;;
30;"P7";"OSHWLOGO0.3IN";1;"CONN_1";;;
